IfcGlobalId,IfcClass,Storey,BoqSec,BoqItemRef,Role,Basis,Confidence
01U2Ox69TF78CjGAzXHADr,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAIC,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAIC,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAID,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAID,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAIE,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAIE,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAIq,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAIq,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAIt,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAIt,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAIv,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAIv,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAKw,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAKw,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAKx,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAKx,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAKy,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAKy,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALM,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALM,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALN,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALN,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALO,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALO,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALo,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALo,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALr,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALr,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHALt,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHALt,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAMH,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAMH,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAMi,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAMi,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAMl,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAMl,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANM,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANM,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANP,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANP,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANR,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANR,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANo,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANo,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANp,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANp,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHANq,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHANq,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAO4,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAO4,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAO5,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAO5,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAO6,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAO6,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQ0,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQ0,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQU,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQU,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQV,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQV,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQm,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQm,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQp,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQp,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAQr,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAQr,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHARH,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHARH,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHARi,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHARi,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHARl,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHARl,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHASq,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHASq,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHASt,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHASt,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHASv,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHASv,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHATW,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHATW,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHATX,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHATX,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHATY,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHATY,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAVu,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAVu,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAVv,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAVv,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAVw,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAVw,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWQ,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWQ,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWR,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWR,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWS,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWS,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWT,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWT,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWU,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWU,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWm,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWm,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWn,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWn,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWp,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
01U2Ox69TF78CjGAzXHAWp,IFCSLAB,01 - Entry Level,2,2.11,Formwork,Slab soffit formwork is implied by the slab it forms.,0.9
01U2Ox69TF78CjGAzXHAWr,IFCSLAB,01 - Entry Level,2,2.06,Concrete,"Suspended slab concrete, priced per m3 of slab.",0.9
